feature_id,gadm_admin.GID_0,x,y
BDI.4.10_1,BDI,29.59638377,-4.06980818
BDI.5.1_1,BDI,30.49624424,-3.20032488
BDI.5.2_1,BDI,30.60664918,-3.31061549
BDI.5.3_1,BDI,30.73750653,-3.21331038
BDI.5.4_1,BDI,30.53209701,-3.0421068
BDI.5.5_1,BDI,30.72742226,-3.06684345
BDI.6.1_1,BDI,29.22578376,-2.9905697
BDI.6.2_1,BDI,29.36503285,-2.87023223
BDI.6.3_1,BDI,29.25523092,-2.71378829
BDI.6.4_1,BDI,29.12198966,-2.69274035
BDI.6.5_1,BDI,29.24853116,-2.9053277
BDI.6.6_1,BDI,29.09470673,-2.82193931
BDI.7.1_1,BDI,29.93403011,-3.25607215
BDI.7.2_1,BDI,29.96675416,-3.70176802
BDI.7.3_1,BDI,29.9059672,-3.75613438
BDI.7.4_1,BDI,29.88202568,-3.33623336
BDI.7.5_1,BDI,29.89017981,-3.61529703
BDI.7.6_1,BDI,29.95779206,-3.44119626
BDI.7.7_1,BDI,30.04729636,-3.6044293
BDI.7.8_1,BDI,29.96659362,-3.57235662
BDI.7.9_1,BDI,29.86650469,-3.14487661
BDI.7.10_1,BDI,29.83018642,-3.56807836
BDI.7.11_1,BDI,29.79879929,-3.70726858
BDI.8.1_1,BDI,30.06061991,-3.07873602
BDI.8.2_1,BDI,30.18761457,-3.08549208
BDI.8.3_1,BDI,29.98018545,-3.14103383
BDI.8.4_1,BDI,30.16316712,-2.97503425
BDI.8.5_1,BDI,30.2424789,-3.20210581
BDI.8.6_1,BDI,30.14117035,-3.26465572
BDI.8.7_1,BDI,30.05391527,-3.2852358
BDI.9.1_1,BDI,29.69479088,-3.10228975
BDI.9.2_1,BDI,29.73246541,-2.99278025
BDI.9.3_1,BDI,29.67741657,-2.99225927
BDI.9.4_1,BDI,29.54521138,-2.84695067
BDI.9.5_1,BDI,29.63973664,-2.9185389
BDI.9.6_1,BDI,29.60397189,-3.07722285
BDI.9.7_1,BDI,29.80341089,-3.04448993
BDI.9.8_1,BDI,29.55888311,-2.95630888
BDI.9.9_1,BDI,29.76211836,-3.15571197
BDI.10.1_1,BDI,30.01978072,-2.43007525
BDI.10.2_1,BDI,30.25226145,-2.47318554
BDI.10.3_1,BDI,30.3555917,-2.55229378
BDI.10.4_1,BDI,30.22952077,-2.64207219
BDI.10.5_1,BDI,30.10847132,-2.55798254
BDI.10.6_1,BDI,29.99147919,-2.59036591
BDI.10.7_1,BDI,30.09354384,-2.70083762
BDI.11.1_1,BDI,30.02433805,-4.15020117
BDI.11.2_1,BDI,29.89094948,-4.29068523
BDI.11.3_1,BDI,29.49657555,-4.32936806
BDI.11.4_1,BDI,29.76800365,-4.30730462
BDI.11.5_1,BDI,29.81543398,-4.12540252
BDI.11.6_1,BDI,29.64654172,-4.30225243
BDI.11.7_1,BDI,29.67849501,-4.15384597
BDI.12.1_1,BDI,29.60432381,-3.19288538
BDI.12.2_1,BDI,29.67201931,-3.34577911
BDI.12.3_1,BDI,29.74711532,-3.24013453
BDI.12.4_1,BDI,29.58704231,-3.30094713
BDI.12.5_1,BDI,29.74407896,-3.31553175
BDI.13.1_1,BDI,30.37840224,-2.97969694
BDI.13.2_1,BDI,30.32236204,-2.71093022
BDI.13.3_1,BDI,30.17351167,-2.76589341
BDI.13.4_1,BDI,30.23576387,-2.85115626
BDI.13.5_1,BDI,30.44718086,-2.45707116
BDI.13.6_1,BDI,30.38271896,-2.80940164
BDI.13.7_1,BDI,30.31164665,-3.09587287
BDI.14.1_1,BDI,29.7116566,-3.62687755
BDI.14.2_1,BDI,29.63371041,-3.5569104
BDI.14.3_1,BDI,29.74431242,-3.52250921
BDI.14.4_1,BDI,29.75343106,-3.39155674
BDI.14.5_1,BDI,29.81206389,-3.44918104
BDI.14.6_1,BDI,29.63520545,-3.45402102
BDI.15.1_1,BDI,29.71007044,-2.85830052
BDI.15.2_1,BDI,29.909653,-2.89616837
BDI.15.3_1,BDI,30.0324467,-2.8360676
BDI.15.4_1,BDI,29.9624676,-2.73426116
BDI.15.5_1,BDI,29.80062074,-2.82487051
BDI.15.6_1,BDI,29.82690446,-2.95027247
BDI.15.7_1,BDI,29.88117343,-2.81364501
BDI.15.8_1,BDI,29.9413792,-3.00828833
BDI.15.9_1,BDI,30.07586071,-2.92037404
BDI.16.1_1,BDI,30.07391335,-4.02372411
BDI.16.2_1,BDI,30.23454536,-3.83544374
BDI.16.3_1,BDI,29.90198806,-4.00756272
BDI.16.4_1,BDI,30.13986119,-3.80489427
BDI.16.5_1,BDI,30.06958812,-3.75514538
BDI.16.6_1,BDI,29.98337682,-3.88680248
BDI.17.1_1,BDI,30.14811145,-3.53329913
BDI.17.2_1,BDI,30.19745427,-3.35392933
BDI.17.3_1,BDI,30.3826917,-3.2966561
BDI.17.4_1,BDI,30.49823213,-3.44604297
BDI.17.5_1,BDI,30.36448803,-3.62418774
BDI.17.6_1,BDI,30.2703744,-3.57812921
BDI.17.7_1,BDI,30.27877583,-3.43685276
BEN.1.1_1,BEN,2.41618056,11.35720517
BEN.1.2_1,BEN,2.71773257,10.78205327
BEN.1.3_1,BEN,2.97972166,11.221482870000001
BEN.1.4_1,BEN,2.74975518,11.95652485
BEN.1.5_1,BEN,3.27500379,11.66533975
BEN.1.6_1,BEN,3.47277108,10.93011651
BEN.2.1_1,BEN,1.14431013,10.25730621
BEN.2.2_1,BEN,0.91048296,10.49395792
BEN.2.3_1,BEN,2.01660671,10.9499234
BEN.2.4_1,BEN,1.73005265,10.44420757
BEN.2.5_1,BEN,1.03974815,10.81031846
BEN.2.6_1,BEN,1.41667131,10.27531075
BEN.2.7_1,BEN,2.05058994,10.28522158
BEN.2.8_1,BEN,1.44681645,11.0436737
BEN.2.9_1,BEN,1.47821124,10.55470223
BEN.3.1_1,BEN,2.3269597,6.49322479
BEN.3.2_1,BEN,2.11918084,6.66167614
BEN.3.3_1,BEN,2.02240815,6.43678195
BEN.3.4_1,BEN,2.13135182,6.38235478
BEN.3.5_1,BEN,2.42909478,6.47087172
BEN.3.6_1,BEN,2.1739997,6.83647436
BEN.3.7_1,BEN,2.15444214,6.52733373
BEN.3.8_1,BEN,2.32666744,6.73585893
BEN.4.1_1,BEN,2.75775821,10.28785926
BEN.4.2_1,BEN,3.40510036,10.38321204
BEN.4.3_1,BEN,2.47609444,9.73773903
BEN.4.4_1,BEN,3.20630166,9.97501759
BEN.4.5_1,BEN,2.6186078,9.35187545
BEN.4.6_1,BEN,2.99997239,9.61701053
BEN.4.7_1,BEN,2.35968451,10.26538719
BEN.4.8_1,BEN,2.4763803,9.15257791
BEN.5.1_1,BEN,1.86532449,8.33372107
BEN.5.2_1,BEN,2.27232402,7.69189241
BEN.5.3_1,BEN,2.2256812,8.17065477
BEN.5.4_1,BEN,2.48202578,8.52238264
BEN.5.5_1,BEN,1.85911444,7.86455711
BEN.5.6_1,BEN,2.56787551,7.9795238
BEN.6.1_1,BEN,1.83379516,8.97056012
BEN.6.2_1,BEN,1.53759718,9.89411499
BEN.6.3_1,BEN,1.85060568,9.69079561
BEN.6.4_1,BEN,1.43241103,9.59630218
BEN.7.1_1,BEN,1.69535935,7.16406492
BEN.7.2_1,BEN,1.68841622,6.84911554
BEN.7.3_1,BEN,1.75734323,6.76907118
BEN.7.4_1,BEN,1.83113556,7.03191791
BEN.7.5_1,BEN,1.97368114,6.86000572
BEN.7.6_1,BEN,1.81933289,6.88300275
BEN.8.1_1,BEN,2.41178984,6.36469471
BEN.9.1_1,BEN,1.73026079,6.62963086
BEN.9.2_1,BEN,1.93049193,6.64453282
BEN.9.3_1,BEN,1.91155776,6.40954095
BEN.9.4_1,BEN,1.83599914,6.34604081
BEN.9.5_1,BEN,1.85066685,6.52954699
BEN.10.1_1,BEN,2.68374835,6.4706885
BEN.10.2_1,BEN,2.50604081,6.69724934
BEN.10.3_1,BEN,2.52677202,6.44692988
BEN.10.4_1,BEN,2.59290515,6.55530174
BEN.10.5_1,BEN,2.65586912,6.55268215
BEN.10.6_1,BEN,2.47324352,6.88112296
BEN.10.7_1,BEN,2.50276783,6.55994811
BEN.10.8_1,BEN,2.62644025,6.46011503
BEN.10.9_1,BEN,2.60403007,6.3913148
BEN.11.1_1,BEN,2.59450758,6.97836532
BEN.11.2_1,BEN,2.72068983,6.6422779
BEN.11.3_1,BEN,2.60575546,7.41866896
BEN.11.4_1,BEN,2.68933418,7.08371881
BEN.11.5_1,BEN,2.6560423,6.76112585
BEN.12.1_1,BEN,1.98506789,7.17184268
BEN.12.2_1,BEN,1.95834074,7.08157402
BEN.12.3_1,BEN,2.1102947,7.1676472
BEN.12.4_1,BEN,2.2771398,7.33637267
