"HDI Rank","Country","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2007-2018",""
"MPI 2019: Contribution of Health
null
Dimension: Poverty
Definition: Percentage of the Multidimensional Poverty Index attributed to deprivations in the health dimension.
"82"," North Macedonia","..","","..","","..","","..","","62.5","a,c","..","","..","","..","","..","","..","","..","","..","","62.5","a,c"
"152"," Pakistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","27.6","a","27.6","a"
"119"," Palestine, State of","..","","..","","..","","..","","..","","..","","..","","53.3","a","..","","..","","..","","..","","53.3","a"
"98"," Paraguay","..","","..","","..","","..","","..","","..","","..","","..","","..","","14.3","a","..","","..","","14.3","a"
"82"," Peru","..","","..","","..","","..","","..","","20.3","a","..","","..","","..","","..","","..","","..","","20.3","a"
"106"," Philippines","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","20.3","a,b","..","","20.3","a,b"
"157"," Rwanda","..","","..","","..","","..","","..","","..","","..","","..","","13.6","a","..","","..","","..","","13.6","a"
"89"," Saint Lucia","..","","..","","..","","..","","..","","69.5","a,c","..","","..","","..","","..","","..","","..","","69.5","a,c"
"137"," Sao Tome and Principe","..","","..","","..","","..","","..","","..","","..","","18.6","a","..","","..","","..","","..","","18.6","a"
"166"," Senegal","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","22.1","a","..","","22.1","a"
"63"," Serbia","..","","..","","..","","..","","..","","..","","..","","20.6","a,d","..","","..","","..","","..","","20.6","a,d"
"181"," Sierra Leone","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","18.6","a","..","","18.6","a"
"113"," South Africa","..","","..","","..","","..","","..","","..","","..","","..","","..","","39.5","a","..","","..","","39.5","a"
"186"," South Sudan","..","","..","","..","","14.0","a","..","","..","","..","","..","","..","","..","","..","","..","","14.0","a"
"168"," Sudan","..","","..","","..","","..","","..","","..","","..","","21.1","a","..","","..","","..","","..","","21.1","a"
"98"," Suriname","..","","..","","..","","45.7","a,c","..","","..","","..","","..","","..","","..","","..","","..","","45.7","a,c"
"154"," Syrian Arab Republic","..","","..","","40.7","a,d","..","","..","","..","","..","","..","","..","","..","","..","","..","","40.7","a,d"
"125"," Tajikistan","..","","..","","..","","..","","..","","..","","..","","..","","..","","..","","47.8","a","..","","47.8","a"
"159"," Tanzania (United Republic of)","..","","..","","..","","..","","..","","..","","..","","..","","..","","21.1","a","..","","..","","21.1","a"
"77"," Thailand","..","","..","","..","","..","","..","","..","","..","","..","","..","","35.0","a,d","..","","..","","35.0","a,d"
"131"," Timor-Leste","..","","..","","..","","..","","..","","..","","..","","..","","..","","27.8","a","..","","..","","27.8","a"
